Country;Name;Totalfollowers;followerspain;authenticengament;Account2;Links;Category;Subcategory;Subcategory 2;Subcategory 3;Country.1;Marcas1;Marcas2;Marcas3;Marcas4;Marcas5;Marcas6;Marcas7;Marcas8;Marcas9;Marcas10;Tik Tok;Youtube;Twitter;%offemales
United States; Hermes ;11500000;540800;5600;hermes;https://www.instagram.com/hermes/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Luxury;italy;@ugobienvenu,;@massimiliano_bomba,;@mariano_pascual,;@_chuwong,;@ibkamara,;@jabezbartlett,;@baezanny,;@deirdrefirinne,;@jonasgloeer,;@aramishmangi;Unknown;Unknown;Unknown;52.0 %
Unknown; Emporio Armani ;18200000;2600000;2700;emporioarmani;https://www.instagram.com/emporioarmani/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Luxury;italy;@andreafaccio,;@emiliefouilloux,;@xfactoritalia,;@sierraofficialsr,;@daviderossi_official,;@kimono_sofia,;@booda.real,;@sugar.it,;@lucaspossiede,;@britishfashioncouncil.;Unknown;Unknown;393182;49.8 %
United States; ELIE SAAB ;8500000;507900;5300;eliesaabworld;https://www.instagram.com/eliesaabworld/?hl=es;Fashion;Clothing & Outfits;Shopping & Retail;Unknown;italy;@karolinakurkova,;@marieclairerussia,;@jlo,;@holafashion_es,;@voguetaiwan,;@woman_es,;@awkwafina,;@kristine_froseth,;@harpersbazaararabia,;@wild.management;Unknown;Unknown;1465954;70.6 %
United States; Roberto Cavalli ;7300000;836400;4700;roberto_cavalli;https://www.instagram.com/roberto_cavalli/?hl=es;Fashion;Fashion;Lifestyle;Unknown;italy;@kendalljenner,;@luckybsmith,;@nebraskasupermodel,;@kourtneykardash,;@kimkardashian,;@olarindal,;@andrea_maccio,;@greta_hajwos,;@ottawakwami,;@sterre.h;Unknown;Unknown;Unknown;63.0 %
Italy; Zoe Cristofoli;1100000;498400;19500;zoe_cristofoli;https://www.instagram.com/zoe_cristofoli/?hl=es;Fashion;Modeling;Beauty;Unknown;italy;@mouboots_,;@boylondon_italia,;@look.totalbrand,;@pyrexoriginal,;@labelclothings,;@lucanrd9,;@milla,;@tamarapellegrinmua,;@vitosatalino_official,;@kerastase_official;Unknown;154000;1575253;46.4 %
United States; Foot Locker ;11900000;540700;2000;footlocker;https://www.instagram.com/footlocker/?hl=es;Fashion;Family;Unknown;Unknown;italy;@pumahoops,;@market,;@nike,;@puma,;@kingjames,;@footlockerdetroit,;@distinctlife,;@jumpman23,;@christiancrosby,;@dfns.official;Unknown;Unknown;Unknown;15.1 %
Italy; Kevin Sacchi ;847800;384100;27300;kevinsacchi;https://www.instagram.com/kevinsacchi/?hl=es;Fashion;Photography;Humor ;Unknown;italy;@ivaaan_pavlovic,;@instagram;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;72100;37200;117822;0%
United States; Vogue Italia ;6000000;1200000;3000;vogueitalia;https://www.instagram.com/vogueitalia/?hl=es;Fashion;Literature & Journalism;Unknown;Unknown;italy;@alessiaglaviano,;@efarneti,;@patti_wilson,;@piergiorgio,;@samuel_ellis,;@julianwatsonagency,;@callisteagency,;@scandebergs,;@saramaino_,;@maranif;Unknown;469000;Unknown;55.7 %
Unknown; Chloe;10000000;605200;2100;chloe;https://www.instagram.com/chloe/?hl=es;Fashion;Clothing & Outfits;Accessories & Jewellery;Luxury;italy;@harpersbazaarus,;@britishvogue,;@richardbush1,;@felicenova,;@laurajanecoulson,;@lafrisa,;@prefigured_,;@poldipezzoli,;@marionverboom,;@mariannefaithfullofficial;Unknown;Unknown;Unknown;
Unknown; Elisabetta Franchi ;2800000;1600000;7100;elisabettafranchi;https://www.instagram.com/elisabettafranchi/?hl=es;Fashion;Unknown;Unknown;Unknown;italy;@elisabettafranchi]];Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
